LAMBDA \ ETA;0.020395;0.024917;0.025131;0.029157;0.038408;0.051332;0.054900;0.057792;0.061758;0.068552
2.0513e-06;0.4057;0.4146;0.4115;0.4169;0.4156;0.4091;0.4102;0.4016;0.3963;0.4027
2.2741e-06;0.4087;0.4147;0.4139;0.4178;0.4145;0.4117;0.4108;0.405;0.3904;0.3987
2.7815e-06;0.4079;0.4131;0.4128;0.4204;0.4173;0.4128;0.4111;0.4045;0.3953;0.4028
3.7162e-06;0.4077;0.4157;0.4116;0.418;0.4187;0.4096;0.4122;0.3937;0.3978;0.3962
5.7984e-06;0.4086;0.4143;0.4095;0.4177;0.4191;0.4111;0.4136;0.4033;0.3948;0.4055
7.3415e-06;0.4083;0.4149;0.4126;0.4202;0.4176;0.4139;0.4113;0.4064;0.3985;0.399
1.0078e-05;0.4075;0.4119;0.4157;0.4192;0.4181;0.4158;0.4092;0.4035;0.3965;0.4022
2.5595e-05;0.4052;0.4146;0.4142;0.42;0.4185;0.4091;0.4151;0.4035;0.4001;0.3953
8.5247e-05;0.4055;0.4114;0.412;0.4197;0.4151;0.4061;0.4081;0.4022;0.3958;0.3947
9.2722e-05;0.4057;0.4154;0.4135;0.4169;0.4166;0.4127;0.4147;0.4058;0.4026;0.4019
